Lab Test,Final,Pre-Test,Report,Project,Coursework,Att,Practical
74,34.5,10,14,24,34,10,10
0,0.0,0,0,0,0,0,0
61,28.5,10,11,21,31,10,10
51,23.8,10,14,24,32,10,8
26,12.1,9,11,20,30,9,10
67,31.3,10,14,24,34,10,10
73,31.9,8.5,11,19.5,29.5,9,10
26,12.1,9.5,12,21.5,29.5,10,8
38,17.7,9,11,20,30,10,10
63,29.4,8.5,11,19.5,29.5,10,10
40,18.7,9,12,21,31,10,10
48,22.4,8.5,12,20.5,30.5,10,10
62,28.9,8,12,20,30,10,10
50,23.3,9.5,12,21.5,31.5,10,10
69,32.2,8,12,20,30,8,10
47,21.9,8,11,19,29,10,10
34,15.9,8,12,20,30,10,10
59,27.5,10,11,21,31,10,10
76,33.3,8.5,11,19.5,29.5,10,10
31,14.5,9.5,12,21.5,31.5,8,10
69,32.2,9.5,12,21.5,31.5,10,10
74,34.5,10,14,24,34,10,10
15,7.0,8,11,19,27,10,8
38,17.7,8,11,19,29,10,10
37,17.3,8.5,12,20.5,30.5,9,10
42,18.4,10,11,21,31,10,10
0,0.0,0,0,0,8,6,8
67,31.3,9.5,12,21.5,31.5,10,10
62,28.9,9.5,12,21.5,31.5,10,10
43,20.1,9,11,20,30,10,10
75,32.8,9,12,21,31,10,10
65,30.3,9.5,12,21.5,31.5,10,10
40,18.7,10,11,21,31,10,10
43,20.1,8,12,20,30,10,10
42,19.6,9,12,21,31,10,10
46,20.1,8.5,11,19.5,29.5,10,10
59,27.5,8,12,20,30,10,10
